difficulty,strategy,avg_time_s,avg_peak_mem_KiB
0,greedy,0.00023515999782830477,3.561328125
0,dac,0.00035238000564277174,4.597265625
0,dp,0.004087379993870854,34.097265625
1,greedy,0.00017652000533416868,3.626953125
1,dac,0.0005697399959899485,4.795703125
1,dp,0.00521172002190724,36.764453125
2,greedy,0.0001916400040499866,3.626953125
2,dac,0.0011725599993951618,5.405078125
2,dp,0.004415039997547865,43.767578125
