size,strategy,avg_time_s,avg_peak_mem_KiB
4,greedy,6.822000723332167e-05,1.78125
4,dac,7.60599970817566e-05,1.859375
4,dp,0.0003096400061622262,6.0796875
9,greedy,0.00017691997345536947,3.603515625
9,dac,0.0003616199945099652,4.455078125
9,dp,0.004523099982179701,33.666015625
16,greedy,0.00031275999499484896,5.400390625
16,dac,0.0022275400115177035,8.291015625
16,dp,0.012498680013231933,102.331640625
